Primer cuatrimestre 2023,,,,,,,,,,,
MES DE ENERO,,,MES DE FEBRERO,,,MES DE MARZO,,,MES DE ABRIL,,
DÍA,BCV​,PARALELO,DÍA,BCV​,PARALELO​,DÍA,BCV​,PARALELO,DÍA,BCV​,PARALELO
1,domingo,domingo,1,Bs. 22.37,Bs. 23.30,1,Bs. 24.36,Bs. 24.46,1,sábado,sábado
2,Bs. 17.49,Bs. 18.83,2,Bs. 22.43,Bs. 23.55,2,Bs. 24.35,Bs. 24.49,2,domingo,domingo
3,Bs. 17.56,Bs. 19.44,3,Bs.22.68,Bs. 23.68,3,Bs. 24.35,Bs. 24.64,3,Bs. 24.52,Bs. 24.95
4,Bs. 17.86,Bs. 19.82,4,sábado,sábado,4,sábado,sábado,4,Bs. 24.48,Bs. 24.93
5,Bs. 17.94,Bs. 20.28,5,domingo,domingo,5,domingo,domingo,5,Bs. 24.44,Bs. 24.77
6,Bs. 18.39,Bs. 20.61,6,Bs. 22.90,Bs. 24.06,6,Bs. 24.31,Bs. 24.49,6,Jueves Santo,J. Santo
7,sábado,sábado,7,Bs. 23.14,Bs. 24.68,7,Bs. 24.27,Bs. 24.47,7,Viernes Santo,V. Santo
8,domingo,domingo,8,Bs. 23.61,Bs. 25.02,8,Bs. 24.15,Bs. 24.41,8,sábado,sábado
9,Bs. 18.61,Bs. 20.09,9,Bs. 23.80,Bs. 24.82,9,Bs. 24.17,Bs. 24.32,9,domingo,domingo
10,Bs. 18.61,Bs. 20.23,10,Bs. 24.19,Bs. 24.72,10,Bs. 24.13,Bs. 24.28,10,Bs. 24.48,Bs. 24.92
11,Bs. 18.80,Bs. 20.67,11,sábado,sábado,11,sábado,sábado,11,Bs. 24.39,Bs. 25.06
12,Bs. 19.05,Bs. 21.21,12,domingo,domingo,12,domingo,domingo,12,Bs. 24.47,Bs. 24.84
13,Bs. 19.27,Bs. 20.93,13,Bs. 24.20,Bs. 24 80,13,Bs. 24.15,Bs. 24.23,13,Bs. 24.47,Bs. 24.87
14,sábado,sábado,14,Bs. 24.25,Bs. 24.95,14,Bs. 24.11,Bs. 24.46,14,Bs. 24.54,Bs. 24.82
15,domingo,domingo,15,Bs. 24.34,Bs. 25.00,15,Bs. 24.00,Bs. 24.54,15,sábado,sábado
16,Bs. 19.45,Bs. 20.98,16,Bs. 24.36,Bs. 25.09,16,Bs. 24.06,Bs. 24.80,16,domingo,domingo
17,Bs. 19.66,Bs. 21.77,17,Bs. 24.38,Bs.25.02,17,Bs. 24.12,Bs. 25.38,17,Bs. 24.57,Bs. 24.85
18,Bs. 19.97,Bs. 22.20,18,sábado,sábado,18,sábado,sábado,18,Bs. 24.56,Bs. 25.03
19,Bs. 19.98,Bs. 22.35,19,domingo,domingo,19,domingo,domingo,19,Bs. 24.56,Bs. 25.28
20,Bs. 20.29,Bs. 21.60,20,Feriado,Feriado,20,Bs. 24.20,Bs. 25.29,20,Bs. 24.56,Bs. 25.15
21,sábado,sábado,21,Feriado,Feriado,21,Bs. 24.22,Bs. 25.10,21,Bs. 24.57,Bs. 25.31
22,domingo,domingo,22,Bs.24 40,Bs. 25.44,22,Bs. 24.24,Bs. 25.40,22,sábado,sábado
23,Bs. 20.52,Bs. 21.99,23,Bs. 24.39,Bs. 25.23,23,Bs. 24.20,Bs. 25.68,23,domingo,domingo
24,Bs. 20.73,Bs. 22.56,24,Bs. 24.37,Bs. 24.85,24,Bs. 24.30,Bs. 25.65,24,Bs. 24.64,Bs. 25.79
25,Bs. 21.17,Bs. 23.03,25,sábado,sábado,25,sábado,sábado,25,Bs. 24.61,Bs. 25.53
26,Bs. 21.31,Bs. 23.22,26,domingo,domingo,26,domingo,domingo,26,Bs. 24.65,Bs. 25.66
27,Bs. 21.71,Bs. 23.20,27,Bs. 24.41,Bs. 25.05,27,Bs. 24.40,Bs. 25.25,27,Bs. 24.63,Bs. 25.74
28,sábado,sábado,28,Bs. 24.36​,Bs. 24.70,28,Bs. 24.39,Bs. 25.32,28,Bs. 24.73,Bs. 25.61
29,domingo,domingo,,,,29,Bs.24.41,Bs. 25.07,29,sábado,sábado
30,Bs. 21.95,Bs. 22.88,,,,30,Bs. 24.48,Bs. 25.11,30,domingo,domingo
31,Bs. 21.96​,Bs.23.09,,,,31,Bs. 24.49,Bs. 24.75,,,
Segundo cuatrimestre 2023,,,,,,,,,,,
MES DE MAYO,,,MES DE JUNIO,,,MES DE JULIO,,,MES DE AGOSTO,,
DÍA,BCV​,PARALELO,DÍA,BCV​,PARALELO​,DÍA,BCV​,PARALELO,DÍA,BCV​,PARALELO
1,Bs. 24.75,Bs. 25.61,1,Bs. 26.26,Bs. 27.63,1,sábado,sábado,1,Bs. 29.50​,Bs. 31.61
2,Bs. 24.75,Bs. 25.42,2,Bs. 26.47,Bs. 27.64,2,domingo,domingo,2,Bs. 29.61,Bs. 32.32
